"country","city","airport","iso"
"China","Zhangye","Zhangye Ganzhou Airport","YZY"
"China","Zhengzhou","Zhengzhou Xinzheng International Airport","CGO"
"China","Zhoushan","Zhoushan Putuoshan Airport","HSN"
"China","Zhuhai","Zhuhai Jinwan Airport","ZUH"
"China","urumqi","urumqi Diwopu International Airport","URC"
"China, Hong Kong Special Administrative Region","Hong Kong","Hong Kong International Airport","HKG"
"Macau","Macau","Macau International Airport","MFM"
"Taiwan","Kaohsiung","Kaohsiung International Airport","KHH"
"Taiwan","Taichung","Taichung International Airport","RMQ"
"Taiwan","Taipei","Taipei Songshan Airport","TSA"
"Taiwan","Taoyuan","Taiwan Taoyuan International Airport","TPE"
"Republic of Korea","Busan","Gimhae International Airport","PUS"
"Republic of Korea","Daegu","Daegu Airport","TAE"
"Republic of Korea","Jeju","Jeju International Airport","CJU"
"Republic of Korea","Seoul","Gimpo International Airport","GMP"
"Republic of Korea","Incheon","Incheon International Airport","ICN"
"Republic of Korea","Cheongju","Cheongju International Airport","CJJ"
"Republic of Korea","Muan","Muan International Airport","MWX"
"Republic of Korea","Yangyang","Yangyang International Airport","YNY"
"Bangladesh","Chittagong","Shah Amanat International Airport","CGP"
"Bangladesh","Dhaka","Hazrat Shahjalal International Airport","DAC"
"Bangladesh","Sylhet","Osmani International Airport","ZYL"
"Bhutan","Paro","Paro Airport","PBH"
"India","Andaman & Nicobar Islands","Veer Savarkar International Airport","IXZ"
"India","Ahmedabad","Sardar Vallabhbhai Patel International Airport","AMD"
"India","Amritsar","Sri Guru Ram Dass Jee International Airport","ATQ"
"India","Agatti","Agatti Airport","AGX"
"India","Aizawl","Lengpui Airport","AJL"
"India","Along","Along Airport","IXV"
"India","Aranmula","Aranmula International Airport","AML"
"India","Bangalore","Kempegowda International Airport","BLR"
"India","Bhopal","Raja Bhoj International Airport","BHO"
"India","Bhubaneshwar","Biju Patnaik International Airport","BBI"
"India","Chandigarh","Chandigarh International Airport","IXC"
"India","Chennai","Chennai International Airport","MAA"
"India","Chennai","New Chennai International Airport","NMA"
"India","Kochi","Cochin International Airport","COK"
"India","Coimbatore","Coimbatore International Airport","CJB"
"India","Daman","Daman Airport","NMA"
"India","Dimapur","Dimapur Airport","DMU"
"India","Delhi","Indira Gandhi International Airport","DEL"
"India","Dehra Dun","Jolly Grant Airport","DED"
"India","Dholera","Dholera International Airport","DHR"
"India","Faizabad","Ram Lala International Airport","FZD"
"India","Gangtok","Pakyong Airport","PAS"
"India","Gurgaon","Karnal Airport","KBS"
"India","Goa","Goa International Airport","GOI"
"India","Goa","Mopa Airport","MGI"
"India","Gaya","Gaya International Airport","GAY"
"India","Guwahati","Lokpriya Gopinath Bordoloi International Airport","GAU"
"India","Hyderabad","Rajiv Gandhi International Airport","HYD"
"India","Imphal","Imphal International Airport","IMF"
"India","Indore","Devi Ahilya Bai Holkar International Airport","IXR"
"India","Jaipur","Jaipur International Airport","JAI"
"India","Kannur","Kannur International Airport","CNN"
"India","Kolkata","Netaji Subhash Chandra Bose International Airport","CCU"
"India","Kozhikode","Calicut International Airport","CCJ"
"India","Kottayam","Sabarigiri International Airport","SIA"
"India","Kullu","Kullu Manali International Airport","KTM"
"India","Kusinagar","Gautama Buddha International Airport","KNR"
"India","Lucknow","Chaudhary Charan Singh International Airport","LKO"
"India","Madurai","Madurai International Airport","IXM"
"India","Mathura","Mathura International Airport","MAR"
"India","Mangalore","Mangalore International Airport","IXE"
"India","Mumbai","Chhatrapati Shivaji International Airport","BOM"
"India","Mysore","Mysore International Airport","MLE"
"India","Noida","Taj International Airport","NTA"
"India","Nagpur","Dr. Babasaheb Ambedkar International Airport","NAG"
"India","Navi Mumbai","Navi Mumbai International Airport","NMA"
"India","Kanpur","Captain Lakshmi Sehgal International Airport","KPR"
"India","Port Blair","Veer Savarkar International Airport","IXZ"
"India","Patna","Jay Prakash Narayan International Airport","PAT"
"India","Pasighat","Tong Airport","IXZ"
"India","Pune","Pune International Airport","PNQ"
"India","Pune","Chhatrapati Sambhaji Raje International Airport","CRA\NPQ"
"India","Raipur","Swami Vivekananda Airport","RPR"
"India","Ranchi","Birsa Munda Airport","IXR"
"India","Siliguri","Bagdogra International Airport","IXB"
"India","Shillong","Shillong Airport","SHL"
"India","Shimla","Shimla Airport","SLV"
"India","Srinagar","Srinagar Airport","SXR"
"India","Tiruchirappalli","Tiruchirappalli International Airport","TRZ"
"India","Tirupati","Tirupati Airport","TIR"
"India","Trivandrum","Trivandrum International Airport","TRV"
"India","Varanasi","Lal Bahadur Shastri International Airport","VNS"
"India","Vijayawada","Nandamuri Taraka Rama Rao-Amaravati International Airport","VGA"
"India","Vishakhapatnam","Visakhapatnam Airport","VTZ"
"India","Vishakhapatnam","Bhogapuram Airport","VSA"
"India","Vadodara","Vadodara Airport","BDQ"
"Maldives","Hulhule Island","Velana International Airport","MLE"
"Maldives","Addu City","Gan International Airport","GAN"
"Nepal","Kathmandu","Tribhuvan International Airport","KTM"
"Nepal","Siddharthanagar","Gautam Buddha Airport","BWA"
"Pakistan","Bahawalpur","Bahawalpur Airport","BHV"
"Pakistan","Dera Ghazi Khan","Dera Ghazi Khan International Airport","DEA"
"Pakistan","Faisalabad","Faisalabad International Airport","LYP"
"Pakistan","Gwadar","Gwadar International Airport","GWD"
"Pakistan","Islamabad","Benazir Bhutto International Airport","ISB"
"Pakistan","Karachi","Jinnah International Airport","KHI"
"Pakistan","Lahore","Allama Iqbal International Airport","LHE"
"Pakistan","Multan","Multan International Airport","MUX"
"Pakistan","Peshawar","Bacha Khan International Airport","PEW"
"Pakistan","Quetta","Quetta International Airport","UET"
"Pakistan","Rahimyar Khan","Shaikh Zayed International Airport","RYK"
"Pakistan","Sialkot","Sialkot International Airport","SKT"
"Pakistan","Turbat","Turbat International Airport","TUK"
"Sri Lanka","Colombo","Bandaranaike International Airport","CMB"
"Sri Lanka","Hambantota","Mattala Rajapaksa International Airport","HRi"
"Brunei Darussalam","Bandar Seri Begawan","Brunei International Airport","BWN"
"Cambodia","Phnom Penh","Phnom Penh International Airport","PNH"
"Cambodia","Siem Reap","Siem Reap-Angkor International Airport","REP"
"Cambodia","Sihanoukville","Sihanoukville International Airport","KOS"
"Timor-Leste","Dili","Presidente Nicolau Lobato International Airport","DIL"
"Indonesia","Makassar","Hasanuddin International Airport","UPG"
"Indonesia","Manado","Sam Ratulangi International Airport","MDC"
"Indonesia","Mataram","Lombok International Airport","LOP"
"Indonesia","Medan","Kuala Namu International Airport","KNO"
"Indonesia","Padang","Minangkabau International Airport","PDG"
"Indonesia","Palembang","Sultan Mahmud Badaruddin II Airport","PLM"
"Indonesia","Pekanbaru","Sultan Syarif Qasim II International Airport","PKU"
"Indonesia","Samarinda","Samarinda International Airport","SRI"
"Indonesia","Semarang","Achmad Yani International Airport","SRG"
"Indonesia","Surabaya","Juanda International Airport","SUB"
"Indonesia","Solo","Adisumarmo International Airport","SOC"
"Indonesia","Yogyakarta","Adisucipto International Airport","JOG"
"Indonesia","Jakarta","Soekarno Hatta International Airport","CGK"
"Indonesia","Denpasar","Ngurah Rai International Airport","DPS"
"Indonesia","Bandung","Husein Sastranegara International Airport","BDO"
"Indonesia","Balikpapan","Sultan Aji Muhammad Sulaiman Airport","BPN"
"Indonesia","Ambon","Pattimura Airport","AMQ"
"Indonesia","Palangkaraya","Tjilik Riwut Airport","PKY"
"Indonesia","Jayapura","Sentani Airport","DJJ"
"Indonesia","Bandjarmasin","Syamsudin Noor Airport","BDJ"
"Indonesia","Kupang","El Tari Airport","KOE"
"Indonesia","Palu","Mutiara Airport","PLW"
"Indonesia","Kendari","Haluoleo Airport","KDI"
"Laos","Luang Prabang","Luang Prabang International Airport","LPQ"
"Laos","Pakse","Pakse International Airport","PKZ"
"Laos","Vientiane","Wattay International Airport","VTE"
"Malaysia","Ipoh","Sultan Azlan Shah Airport","IPH"
"Malaysia","Johor Bahru","Senai International Airport","JHB"
"Malaysia","Kota Baharu","Sultan Ismail Petra Airport","KBR"
"Malaysia","Kota Kinabalu","Kota Kinabalu International Airport","BKI"
"Malaysia","Kuala Lumpur","Kuala Lumpur International Airport","KUL"
"Malaysia","Kuching","Kuching International Airport","KCH"
"Malaysia","Langkawi","Langkawi International Airport","LGK"
"Malaysia","Penang","Penang International Airport","PEN"
"Malaysia","Subang","Sultan Abdul Aziz Shah Airport","SZB"
"Myanmar","Mandalay","Mandalay International Airport","MDL"
"Myanmar","Yaynangyoung","Yangon International Airport","RGN"
"Myanmar","Naypyidaw","Naypyidaw Airport","NYT"
"Philippines","Bicol Region","Bicol International Airport",""
"Philippines","Cagayan Special Economic Zone","Cagayan North International Airport",""
"Philippines","Angeles","Clark International Airport","CRK"
"Philippines","Davao","Francisco Bangoy International Airport","DVO"
"Philippines","General Santos","General Santos International Airport","GES"
"Philippines","Iloilo","Iloilo International Airport","ILO"
"Philippines","Kalibo","Kalibo International Airport","KLO"
"Philippines","Laoag","Laoag International Airport","LAO"
"Philippines","Manila","Ninoy Aquino International Airport","MNL"
"Philippines","Panglao Island","Panglao Island International Airport","TAG"
"Philippines","Puerto Princesa","Puerto Princesa International Airport","PPS"
"Philippines","Olongapo","Subic Bay International Airport","SFS"
"Philippines","Zamboanga","Zamboanga International Airport","ZAM"
"Singapore","Singapore","Singapore Changi Airport","SIN"
"Thailand","Bangkok","Suvarnabhumi Airport","BKK"
"Thailand","Bangkok","Don Mueang International Airport","DMK"
"Thailand","Chiang Mai","Chiang Mai International Airport","CNX"
"Thailand","Chiang Rai","Mae Fah Luang International Airport","CEI"
"Thailand","Rayong","U-Tapao International Airport","UTP"
"Thailand","Hat Yai","Hat Yai International Airport","HDY"
"Thailand","Krabi","Krabi Airport","KBV"
"Thailand","Phuket","Phuket International Airport","HKT"
"Thailand","Surat Thani","Surat Thani Airport","URT"
"Thailand","Ko Samui","Samui Airport","USM"
"Thailand","Udon Thani","Udon Thani International Airport","UTH"
"Viet Nam","Da Nang","Da Nang International Airport","DAD"
"Viet Nam","Hanoi","Noi Bai International Airport","HAN"
"Viet Nam","Ho Chi Minh City","Tan Son Nhat International Airport","SGN"
"Viet Nam","Can Tho","Can Tho International Airport","VCA"
"Viet Nam","Haiphong","Cat Bi International Airport","HPH"
"Viet Nam","Phu Quoc","Phu Quoc International Airport","PQC"
"Afghanistan","Kabul","Hamid Karzai International Airport","KBL"
"Afghanistan","Herat","Herat International Airport","HEA"
"Afghanistan","Kandahar","Kandahar International Airport","KDH"
"Afghanistan","Mazar-e Sharif","Mazar-e Sharif International Airport","MZR"
"Bahrain","Manama","Bahrain International Airport","BAH"
"Iran (Islamic Republic of)","Bandar-e-Abbas","Bandar Abbas International Airport","BND"
"Iran (Islamic Republic of)","Birjand","Birjand International Airport","XBJ"
"Iran (Islamic Republic of)","Isfahan","Isfahan International Airport","IFN"
"Iran (Islamic Republic of)","Kish Island","Kish Airport","KIH"
"Iran (Islamic Republic of)","Mashhad","Mashhad International Airport","MHD"
"Iran (Islamic Republic of)","Mehrabad","Mehrabad International Airport","THR"
"Iran (Islamic Republic of)","Qeshm","Dayrestan Airport","GSM"
"Iran (Islamic Republic of)","Shiraz","Shiraz International Airport","SYZ"
"Iran (Islamic Republic of)","Tabriz","Tabriz International Airport","TBZ"
"Iran (Islamic Republic of)","Tehran","Tehran Imam Khomeini International Airport","IKA"
"Iraq","An Najaf","Al Najaf International Airport","NJF"
"Iraq","Baghdad","Baghdad International Airport","BGW"
"Iraq","Basra","Basra International Airport","BSR"
"Iraq","Irbil","Erbil International Airport","EBL"
"Iraq","Mosul","Mosul International Airport","OSM"
"Iraq","As Sulaymaniyah","Sulaimaniyah International Airport","ISU"
"Iraq","Diyala Governorate","Diyala International Airport",""
"Israel","Eilat","Ramon Airport (under construction, opening 2017)","ETM"
"Israel","Haifa","Haifa Airport","HFA"
"Israel","Negev","Ovda International Airport","VDA"
"Israel","Greater Tel Aviv","Ben Gurion Airport","TLV"
"Jordan","Al Aqabah","King Hussein International Airport","AQJ"
"Jordan","Amman","Queen Alia International Airport","AMM"
"Jordan","Amman","Amman Civil Airport","ADJ"
"Kuwait","Kuwait","Kuwait International Airport","KWI"
"Lebanon","Beirut","Beirut Rafic Hariri International Airport","BEY"
"Oman","Muscat","Muscat International Airport","MCT"
"Qatar","Doha","Hamad International Airport","DOH"
"Saudi Arabia","Ad Dammam","King Fahd International Airport","DMM"
"Saudi Arabia","Jeddah","King Abdulaziz International Airport","JED"
"Saudi Arabia","Medina","Prince Mohammad Bin Abdulaziz International Airport","MED"
"Saudi Arabia","Riyadh","King Khalid International Airport","RUH"
"Syrian Arab Republic","Aleppo","Aleppo International Airport","ALP"
"Syrian Arab Republic","Damascus","Damascus International Airport","DAM"
"Syrian Arab Republic","Latakia","Bassel Al-Assad International Airport","LTK"
"United Arab Emirates","Abu Dhabi","Abu Dhabi International Airport","AUH"
"United Arab Emirates","Al Ain","Al Ain International Airport","AAN"
"United Arab Emirates","Dubai","Al-Maktoum International Airport","DWC"
"United Arab Emirates","Dubai","Dubai International Airport","DXB"
"United Arab Emirates","Ras al Khaymah","Ras Al Khaimah International Airport","RKT"
"United Arab Emirates","Sharjah","Sharjah International Airport","SHJ"
"Yemen","Aden","Aden International Airport","ADE"
"Yemen","Sanaa","Sana'a International Airport","SAH"
"Belgium","Antwerpen","Antwerp International Airport","ANR"
"Belgium","Brussels","Brussels Airport","BRU"
"Belgium","Liege","Liège Airport","LGG"
"Belgium","Brussels","Brussels South Charleroi Airport","CRL"
"Belgium","Brugge","Ostend-Bruges International Airport","OST"
"France","Ajaccio","Campo dell'Oro Airport","AJA"
"France","Bastia","Poretta Airport","BIA"
"France","Biarritz","Biarritz Airport","BIQ"
"France","Brest","Brest Bretagne Airport","BES"
"France","Carcassonne","Salvaza Airport","CCF"
"France","Dinard","Pleurtuit Airport","DNR"
"France","Figari","Figari Sud-Corse Airport","FSC"
"France","Lille","Lille Lesquin Airport","LIL"
"France","Limoges","Bellegarde Airport","LIG"
"France","Marseille","Provence Airport","MRS"
"France","Mulhouse","Basel-Mulhouse-Freiburg Airport","BSL"
"France","Nantes","Nantes Atlantique Airport","NTE"
"France","Paris","Charles de Gaulle Airport","CDG"
"France","Paris","Orly Airport","ORY"
"France","Pau","Uzein Airport","PUF"
"France","Poitier","Biard Airport","PIS"
"France","Rodez","Marcillac Airport","RDZ"
"France","Strasbourg","Strasbourg Airport","SXB"
"France","Toulouse","Blagnac Airport","TLS"
"France","Tours","Tours Loire Valley Airport","TUF"
"France","Beauvais","Beauvais-Tille Airport","BVA"
"France","Bergerac","Bergerac-Roumanière Airport","EGC"
"France","Beziers","Beziers Cap d'Agde Airport","BZR"
"France","Bordeaux","Merignac Airport","BOD"
"France","Chalons-en-Champagne","Chalons Vatry Airport","XCR"
"France","Chambery","Chambery-Savoie Airport","CMF"
"France","Grenoble","Grenoble-Isère Airport","GNB"
"France","Ile de Re","Île de Re Airport","LRH"
"France","Lyon","Saint-Exupery Airport","LYS"
"France","Nice","Côte d'Azur Airport","NCE"
"France","Nimes","Garons Airport","FNI"
"France","Perpignan","Llabanère Airport","PGF"
"France","Saint-Etienne","Boutheon Airport","EBU"
"France","Toulon","Hyères Le Palyvestre Airport","TLN"
"Gibraltar","Gibraltar","North Front Airport","GIB"
"Guernsey","Guernsey","Guernsey Airport","GCI"
"Jersey","Jersey","Jersey Airport","JER"
"Ireland","Cork","Cork Airport","ORK"
"Ireland","Dublin","Dublin Airport","DUB"
"Ireland","Kerry","Kerry Airport","KIR"
"Ireland","Knock","Ireland West Airport Knock","NOC"
"Ireland","Shannon","Shannon Airport","SNN"
"Isle of Man","Isle of Man","Isle of Man Airport","IOM"
"Luxembourg","Luxembourg","Findel Airport","LUX"
"Netherlands","Amsterdam","Amsterdam Airport Schiphol","AMS"
"Netherlands","Eindhoven","Eindhoven Airport","EIN"
"Netherlands","Groningen","Groningen Airport Eelde","GRQ"
"Netherlands","Maastricht","Maastricht-Aachen Airport","MST"
"Netherlands","Rotterdam","Rotterdam The Hague Airport","RTM"
"Portugal","Beja","Beja Airport","BYJ"
"Portugal","Faro","Faro Airport","FAO"
"Portugal","Funchal","Madeira Airport","FNC"
"Portugal","Porto Santo Island","Porto Santo Airport","PXO"
"Portugal","Lisbon","Lisbon Portela Airport","LIS"
"Portugal","Terceira Island","Terceira Airport","TER"
"Spain","Alicante","Alicante Airport","ALC"
"Spain","Asturias","Asturias Airport","OVD"
"Spain","Barcelona","Barcelona Airport","BCN"
"Spain","Fuerteventura","Fuerteventura Airport","FUE"
"Spain","Girona","Girona-Costa Brava Airport","GRO"
"Spain","Gran Canaria","Gran Canaria Airport","LPA"
"Spain","Granada","Granada Airport","GRX"
"Spain","Huesca","Huesca-Pirineos Airport","HSK"
"Spain","Ibiza","Ibiza Airport","IBZ"
"Spain","Jerez de la Frontera","Jerez Airport","XRY"
"Spain","Las Palma","La Palma Airport","SPC"
"Spain","Lanzarote","Lanzarote Airport","ACE"
"Spain","Lleida","Alguaire Airport","ILD"
"Spain","Madrid","Madrid-Barajas Airport","MAD"
"Spain","Menorca","Menorca Airport","MAH"
"Spain","Murcia","Murcia-San Javier Airport","MJV"
"Spain","Palma","Palma de Mallorca Airport","PMI"
"Spain","Reus","Reus Airport","REU"
"Spain","Santander","Santander Airport","SDR"
"Spain","Santiago de Compostela","Santiago de Compostela Airport","SCQ"
"Spain","Seville","Seville Airport","SVQ"
"Spain","Tenerife","Tenerife North Airport","TFN"
"Spain","Tenerife","Tenerife South Airport","TFS"
"Spain","Valencia","Valencia Airport","VLC"
"Spain","Valladolid","Valladolid Airport","VLL"
"Spain","Zaragoza","Zaragoza Airport","ZAZ"
"Austria","Graz","Graz Airport","GRZ"
"Austria","Klagenfurt","Klagenfurt Airport","KLU"
"Austria","Innsbruck","Innsbruck Airport","INN"
"Austria","Linz","Linz Airport","LNZ"
"Austria","Salzburg","Salzburg Airport","SZG"
"Austria","Vienna","Vienna International Airport","VIE"
"Germany","Baden-Baden/Karlsruhe","Karlsruhe/Baden-Baden Airport","FKB"
"Germany","Berlin","Berlin Tegel Airport","TXL"
"Germany","Berlin","Berlin Brandenburg Airport (Future)","BER"
"Germany","Bremen","Bremen Airport","BRE"
"Germany","Cologne/Bonn","Cologne/Bonn Airport","CGN"
"Germany","Dortmund","Dortmund Airport","DTM"
"Germany","Frankfurt","Frankfurt Airport","FRA"
"Germany","Frankfurt","Frankfurt-Hahn Airport","HHN"
"Germany","Friedrichshafen","Friedrichshafen Airport","FDH"
"Germany","Hamburg","Hamburg Airport","HAM"
"Germany","Hanover","Langenhagen Airport","HAJ"
"Germany","Leipzig","Leipzig/Halle Airport","LEJ"
"Germany","Memmingen","Memmingen Airport","FMM"
"Germany","Munich","Munich Airport","MUC"
"Germany","Stuttgart","Stuttgart Airport","STR"
"Germany","Weeze","Weeze Airport","NRN"
"Greece","Athens","Athens International Airport","ATH"
"Greece","Hania","Chania International Airport","CHQ"
"Greece","Hios Island","Chios Island National Airport","JKH"
"Greece","Corfu","Ioannis Kapodistrias Airport","CFU"
"Greece","Heraklion","Heraklion International Airport","HER"
"Greece","Kalamata","Kalamata International Airport","KLX"
"Greece","Karpathos Island","Karpathos Island National Airport","AOK"
"Greece","Kavala","Kavala International Airport","KVA"
"Greece","Kefalonia Island","Kefalonia Island International Airport","EFL"
"Greece","Kos Island","Kos Island International Airport","KGS"
"Greece","Mykonos Island","Mykonos Island National Airport","JMK"
"Greece","Mytilene","Mytilene International Airport","MJT"
"Greece","Preveza","Aktion National Airport","PVK"
"Greece","Rhodes","Rhodes International Airport","RHO"
"Greece","Samos","Samos International Airport","SMI"
"Greece","Santorini","Santorini (Thira) National Airport","JTR"
"Greece","Skiathos Island","Skiathos Island National Airport","JSI"
"Greece","Skyros Island","Skyros Island National Airport","SKU"
"Greece","Thessaloniki","Thessaloniki International Airport","SKG"
"Greece","Volos","Nea Anchialos National Airport","VOL"
"Greece","Zakynthos","Zakynthos International Airport","ZTH"
"Italy","Alghero","Fertilia Airport","AHO"
"Italy","Ancona","Ancona Airport","AOI"
"Italy","Bari","Palese Airport","BRI"
"Italy","Bergamo","Orio al Serio Airport","BGY"
"Italy","Bologna","Bologna Airport","BLQ"
"Italy","Brescia","Brescia Airport","VBS"
"Italy","Brindisi","Brindisi Airport","BDS"
"Italy","Cagliari","Cagliari Airport","CAG"
"Italy","Catania","Fontanarossa Airport","CTA"
"Italy","Cuneo","Cuneo Levaldigi Airport","CUF"
"Italy","Florence","Peretola Airport","FLR"
"Italy","Genoa","Cristoforo Colombo Airport","GOA"
"Italy","Lamezia","Lamezia Terme Airport","SUF"
"Italy","Milan","Linate Airport","LIN"
"Italy","Milan","Malpensa Airport","MXP"
"Italy","Naples","Capodichino Airport","NAP"
"Italy","Olbia","Costa Smeralda Airport","OLB"
"Italy","Palermo","Palermo Airport","PMO"
"Italy","Perugia","San Egidio Airport","PEG"
"Italy","Pescara","Abruzzo Airport","PSR"
"Italy","Pisa","Galileo Galilei Airport","PSA"
"Italy","Rimini","Federico Fellini Airport","RMI"
"Italy","Rome","Leonardo da Vinci-Fiumicino Airport","FCO"
"Italy","Rome","Rome Ciampino Airport","CIA"
"Italy","Trapani","Vincenzo Florio Airport","TPS"
"Italy","Trieste","Friuli Venezia Giulia Airport","TRS"
"Italy","Turin","Caselle Airport","TRN"
"Italy","Venice","Venice Marco Polo Airport","VCE"
"Italy","Verona","Verona Airport","VRN"
"Switzerland","Bern","Bern-Belp Airport","BRN"
"Switzerland","Geneva","Geneva International Airport","GVA"
"Switzerland","Saint Gallen","St. Gallen-Altenrhein Airport","ACH"
"Switzerland","Zurich","Zurich Airport","ZRH"
"Poland","Bydgoszcz","Bydgoszcz Ignacy Jan Paderewski Airport","BZG"
"Poland","Katowice","Katowice International Airport","KTW"
"Poland","Lublin","Lublin Airport","LUZ"
"Poland","Warsaw","Modlin Airport","WMI"
"Romania","Bucharest","Henri Coanda International Airport","OTP"
"Romania","Cluj-Napoca","Cluj-Napoca International Airport","CLJ"
"Romania","Oradea","Oradea International Airport","OMR"
"Romania","Sibiu","Sibiu International Airport","SBZ"
"Armenia","Yerevan","Zvartnots International Airport","EVN"
"Armenia","Gyumri","Shirak Airport","LWN"
"Azerbaijan","Baku","Heydar Aliyev International Airport","GYD"
"Azerbaijan","Ganca","Ganja International Airport","KVD"
"Azerbaijan","Naxcivan","Nakhchivan Airport","NAJ"
"Azerbaijan","Qabala","Qabala International Airport","GBB"
"Azerbaijan","Lankaran","Lankaran International Airport","LLK"
"Belarus","Grodno","Hrodna Airport","GNA"
"Belarus","Gomel","Gomel Airport","GME"
"Belarus","Minsk","Minsk International Airport","MSQ"
"Bosnia and Herzegovina","Banja Luka","Banja Luka International Airport","BNX"
"Bosnia and Herzegovina","Sarajevo","Sarajevo International Airport","SJJ"
"Bosnia and Herzegovina","Tuzla","Tuzla International Airport","TZL"
"Bosnia and Herzegovina","Mostar","Mostar International Airport","OMO"
"Bulgaria","Burgas","Burgas Airport","BOJ"
"Bulgaria","Plovdiv","Plovdiv Airport","PDV"
"Bulgaria","Sofia","Sofia Airport","SOF"
"Bulgaria","Varna","Varna Airport","VAR"
"Croatia","Dubrovnik","Dubrovnik Airport","DBV"
"Croatia","Osijek","Osijek Airport","OSI"
"Croatia","Pula","Pula Airport","PUY"
"Croatia","Rijeka","Rijeka Airport","RJK"
"Croatia","Split","Split Airport","SPU"
"Croatia","Zadar","Zadar Airport","ZAD"
"Cyprus","Larnaka","Larnaca International Airport","LCA"
"Cyprus","Paphos","Paphos International Airport","PFO"
"Cyprus","Tymbou","Ercan International Airport","ECN"
"Czechia","Karlovy Vary","Karlovy Vary Airport","KLV"
"Czechia","Pardubice","Pardubice Airport","PED"
"Estonia","Tallinn","Lennart Meri Tallinn Airport","TLL"
"Estonia","Tartu","Tartu Airport","TAY"
"Georgia","Batumi","Batumi International Airport","BUS"
"Georgia","Kutaisi","Kutaisi International Airport","KUT"
"Georgia","Tbilisi","Tbilisi International Airport","TBS"
"Hungary","Budapest","Budapest Ferenc Liszt International Airport","BUD"
"Hungary","Debrecen","Debrecen International Airport","DEB"
"Kosovo","Pristina","Pristina International Airport","PRN"
"Latvia","Riga","Riga International Airport","RIX"
"Latvia","Ventspils","Ventspils International Airport","VNT"
"Lithuania","Kaunas","Kaunas Airport","KUN"
"Lithuania","Palanga","Palanga International Airport","PLQ"
"Lithuania","Vilnius","Vilnius International Airport","VNO"
"The former Yugoslav Republic of Macedonia","Ohrid","Ohrid St. Paul the Apostle Airport","OHD"
"The former Yugoslav Republic of Macedonia","Skopje","Skopje Alexander the Great Airport","SKP"
"Malta","Luqa","Malta International Airport","MLA"
"Montenegro","Podgorica","Podgorica Airport","TGD"
"Montenegro","Tivat","Tivat Airport","TIV"
"Russian Federation","Abakan","Abakan International Airport","ABA"
"Russian Federation","Anadyr","Ugolny Airport","DYR"
"Russian Federation","Anapa","Anapa Airport","AAQ"
"Russian Federation","Archangel","Talagi Airport","ARH"
"Russian Federation","Astrakhan","Narimanovo Airport","ASF"
"Russian Federation","Barnaul","Barnaul Airport","BAX"
"Russian Federation","Belgorod","Belgorod International Airport","EGO"
"Russian Federation","Blagoveshchensk","Ignatyevo Airport","BQS"
"Russian Federation","Bratsk","Bratsk Airport","BTK"
"Russian Federation","Bryansk","Bryansk International Airport","BZK"
"Russian Federation","Cheboksary","Cheboksary Airport","CSY"
"Russian Federation","Chelyabinsk","Chelyabinsk Airport","CEK"
"Russian Federation","Cherepovets","Cherepovets Airport","CEE"
"Russian Federation","Chita","Kadala Airport","HTA"
"Russian Federation","Elista","Elista Airport","ESL"
"Russian Federation","Irkutsk","Irkutsk Airport","IKT"
"Russian Federation","Groznyy","Grozny Airport","GRV"
"Russian Federation","Kaliningrad","Khrabrovo Airport","KGD"
"Russian Federation","Kazan","Kazan Airport","KZN"
"Russian Federation","Khabarovsk","Khabarovsk Novy Airport","KHV"
"Russian Federation","Komsomolsk na Amure","Komsomolsk-on-Amur Airport","KXK"
"Russian Federation","Krasnodar","Pashkovsky Airport","KRR"
"Russian Federation","Krasnoyarsk","Yemelyanovo International Airport","KJA"
"Russian Federation","Kursk","Kursk Vostochny Airport","URS"
"Russian Federation","Magadan","Sokol Airport","GDX"
"Russian Federation","Magnitogorsk","Magnitogorsk International Airport","MQF"
"Russian Federation","Makhachkala","Uytash Airport","MCX"
"Russian Federation","Mineralnye Vody","Mineralnye Vody Airport","MRV"
"Russian Federation","Moscow","Domodedovo International Airport","DME"
"Russian Federation","Moscow","Sheremetyevo International Airport","SVO"
"Russian Federation","Moscow","Vnukovo Airport","VKO"
"Russian Federation","Murmansk","Murmansk Airport","MMK"
"Russian Federation","Naltchik","Nalchik Airport","NAL"
"Russian Federation","Nizhenvartovsk","Nizhnevartovsk Airport","NJC"
"Russian Federation","Nizhnekamsk","Begishevo Airport","NBC"
"Russian Federation","Nizhny Novgorod","Strigino Airport","GOJ"
"Russian Federation","Novokuznetsk","Spichenkovo Airport","NOZ"
"Russian Federation","Novosibirsk","Tolmachevo Airport","OVB"
"Russian Federation","Omsk","Omsk Tsentralny Airport","OMS"
"Russian Federation","Orenburg","Orenburg Tsentralny Airport","REN"
"Russian Federation","Orsk","Orsk Airport","OSW"
"Russian Federation","Perm","Perm International Airport","PEE"
"Russian Federation","Petrozavodsk","Petrozavodsk Airport","PES"
"Russian Federation","Provideniya","Provideniya Bay Airport","PVS"
"Russian Federation","Petropavlovsk Kamchatskiy","Yelizovo Airport","PKC"
"Russian Federation","Pskov","Pskov Airport","PKV"
"Russian Federation","Rostov","Rostov-na-Donu Airport","ROV"
"Russian Federation","St. Petersburg","Pulkovo Airport","LED"
"Russian Federation","Samara","Samara Kurumoch Airport","KUF"
